# time(s)	left	right
0.000000	2.959960	5.848610	0.000000	0.000000	-0.000000
0.101010	3.301696	5.786866	0.052754	0.002572	0.095935
0.202020	3.732538	5.519065	0.106414	0.009828	0.172194
0.303030	4.028600	5.306889	0.160219	0.020716	0.226908
0.404040	4.232951	5.145388	0.213828	0.034206	0.266017
0.505051	4.374827	5.025320	0.267144	0.049536	0.293919
0.606061	4.473882	4.937341	0.320174	0.066165	0.313806
0.707071	4.543374	4.873471	0.372962	0.083711	0.327972
0.808081	4.592312	4.827384	0.425557	0.101904	0.338062
0.909091	4.626876	4.794265	0.478005	0.120554	0.345247
1.010101	4.651343	4.770532	0.530344	0.139529	0.350363
1.111111	4.668691	4.753556	0.582603	0.158735	0.354006
1.212121	4.681004	4.741430	0.634802	0.178103	0.356599
1.313131	4.689753	4.732777	0.686960	0.197588	0.358446
1.414141	4.695972	4.726606	0.739087	0.217156	0.359761
1.515152	4.700396	4.722208	0.791192	0.236782	0.360697
1.616162	4.703543	4.719073	0.843282	0.256450	0.361364
1.717172	4.705782	4.716840	0.895360	0.276148	0.361839
1.818182	4.707376	4.715249	0.947431	0.295866	0.362177
1.919192	4.708511	4.714116	0.999496	0.315600	0.362417
2.020202	4.709318	4.713310	1.051556	0.335345	0.362589
2.121212	4.709893	4.712735	1.103614	0.355097	0.362711
2.222222	4.710302	4.712326	1.155670	0.374855	0.362797
2.323232	4.710594	4.712035	1.207724	0.394617	0.362859
2.424242	4.710801	4.711827	1.259777	0.414381	0.362903
2.525253	4.710949	4.711680	1.311830	0.434148	0.362935
2.626263	4.711054	4.711574	1.363882	0.453915	0.362957
2.727273	4.711129	4.711499	1.415933	0.473684	0.362973
2.828283	4.711183	4.711446	1.467985	0.493454	0.362984
2.929293	4.711220	4.711408	1.520036	0.513224	0.362992
3.030303	4.711248	4.711381	1.572087	0.532994	0.362998
3.131313	4.711267	4.711362	1.624138	0.552765	0.363002
3.232323	4.711280	4.711348	1.676188	0.572535	0.363005
3.333333	4.711290	4.711338	1.728239	0.592306	0.363007
3.434343	4.711297	4.711332	1.780290	0.612077	0.363009
3.535354	4.711302	4.711327	1.832341	0.631848	0.363010
3.636364	4.711306	4.711323	1.884391	0.651619	0.363010
3.737374	4.711308	4.711321	1.936442	0.671390	0.363011
3.838384	4.711310	4.711319	1.988493	0.691162	0.363011
3.939394	4.711311	4.711318	2.040543	0.710933	0.363012
4.040404	4.711312	4.711317	2.092594	0.730704	0.363012
4.141414	4.711313	4.711316	2.144645	0.750475	0.363012
4.242424	4.711313	4.711316	2.196695	0.770246	0.363012
4.343434	4.711314	4.711315	2.248746	0.790018	0.363012
4.444444	4.711314	4.711315	2.300796	0.809789	0.363012
4.545455	4.711314	4.711315	2.352847	0.829560	0.363012
4.646465	4.711314	4.711315	2.404898	0.849331	0.363012
4.747475	4.711314	4.711315	2.456948	0.869102	0.363012
4.848485	4.711314	4.711315	2.508999	0.888874	0.363012
4.949495	4.711314	4.711315	2.561050	0.908645	0.363012
5.050505	4.711314	4.711315	2.613100	0.928416	0.363012
5.151515	4.711314	4.711315	2.665151	0.948187	0.363012
5.252525	4.711313	4.711315	2.717202	0.967958	0.363012
5.353535	4.711313	4.711316	2.769252	0.987730	0.363012
5.454545	4.711313	4.711316	2.821303	1.007501	0.363013
5.555556	4.711312	4.711317	2.873353	1.027272	0.363013
5.656566	4.711311	4.711318	2.925404	1.047043	0.363013
5.757576	4.711310	4.711319	2.977455	1.066815	0.363013
5.858586	4.711308	4.711321	3.029505	1.086586	0.363014
5.959596	4.711306	4.711323	3.081556	1.106357	0.363014
6.060606	4.711302	4.711327	3.133607	1.126129	0.363015
6.161616	4.711297	4.711332	3.185657	1.145900	0.363016
6.262626	4.711290	4.711339	3.237708	1.165671	0.363017
6.363636	4.711280	4.711349	3.289758	1.185443	0.363020
6.464646	4.711266	4.711362	3.341809	1.205215	0.363022
6.565657	4.711247	4.711382	3.393859	1.224986	0.363027
