# time(s)	left	right
1.861862	4.865140	4.875510
1.871872	4.865318	4.875332
1.881882	4.865490	4.875161
1.891892	4.865657	4.874994
1.901902	4.865818	4.874834
1.911912	4.865973	4.874679
1.921922	4.866123	4.874529
1.931932	4.866269	4.874384
1.941942	4.866409	4.874243
1.951952	4.866545	4.874108
1.961962	4.866676	4.873977
1.971972	4.866803	4.873850
1.981982	4.866926	4.873727
1.991992	4.867045	4.873609
2.002002	4.867160	4.873494
2.012012	4.867271	4.873383
2.022022	4.867378	4.873276
2.032032	4.867482	4.873172
2.042042	4.867583	4.873071
2.052052	4.867680	4.872974
2.062062	4.867774	4.872880
2.072072	4.867865	4.872789
2.082082	4.867953	4.872701
2.092092	4.868039	4.872616
2.102102	4.868121	4.872533
2.112112	4.868201	4.872453
2.122122	4.868279	4.872376
2.132132	4.868354	4.872301
2.142142	4.868427	4.872228
2.152152	4.868497	4.872158
2.162162	4.868565	4.872090
2.172172	4.868631	4.872024
2.182182	4.868696	4.871960
2.192192	4.868758	4.871897
2.202202	4.868818	4.871837
2.212212	4.868877	4.871779
2.222222	4.868933	4.871722
2.232232	4.868989	4.871667
2.242242	4.869042	4.871613
2.252252	4.869094	4.871561
2.262262	4.869145	4.871511
2.272272	4.869194	4.871462
2.282282	4.869242	4.871414
2.292292	4.869288	4.871367
2.302302	4.869333	4.871322
2.312312	4.869378	4.871278
2.322322	4.869421	4.871235
2.332332	4.869462	4.871193
2.342342	4.869503	4.871152
2.352352	4.869543	4.871112
2.362362	4.869582	4.871073
2.372372	4.869620	4.871035
2.382382	4.869657	4.870998
2.392392	4.869694	4.870962
2.402402	4.869729	4.870926
2.412412	4.869764	4.870891
2.422422	4.869799	4.870857
2.432432	4.869832	4.870823
2.442442	4.869865	4.870790
2.452452	4.869898	4.870758
2.462462	4.869930	4.870726
2.472472	4.869962	4.870694
2.482482	4.869993	4.870663
2.492492	4.870023	4.870632
2.502503	4.870054	4.870602
2.512513	4.870084	4.870572
2.522523	4.870113	4.870542
2.532533	4.870143	4.870513
2.542543	4.870172	4.870484
2.552553	4.870201	4.870454
2.562563	4.870230	4.870426
2.572573	4.870259	4.870397
2.582583	4.870288	4.870368
2.592593	4.870316	4.870339
2.602603	4.870345	4.870311
2.612613	4.870374	4.870282
2.622623	4.870402	4.870253
2.632633	4.870431	4.870225
2.642643	4.870460	4.870196
2.652653	4.870489	4.870166
2.662663	4.870518	4.870137
2.672673	4.870548	4.870108
2.682683	4.870578	4.870078
2.692693	4.870608	4.870048
2.702703	4.870638	4.870017
2.712713	4.870669	4.869987
2.722723	4.870700	4.869955
