# time(s)	left	right
9.209209	4.071361	5.569203
9.219219	4.040580	5.591575
9.229229	4.008625	5.614528
9.239239	3.975450	5.638067
9.249249	3.941002	5.662199
9.259259	3.905232	5.686929
9.269269	3.868083	5.712261
9.279279	3.829501	5.738198
9.289289	3.789427	5.764740
9.299299	3.747800	5.791889
9.309309	3.704558	5.819642
9.319319	3.659636	5.847995
9.329329	3.612965	5.876943
9.339339	3.564477	5.906478
9.349349	3.514098	5.936589
9.359359	3.461755	5.967262
9.369369	3.407369	5.998482
9.379379	3.350862	6.030230
9.389389	3.292152	6.062481
9.399399	3.231153	6.095210
9.409409	3.167780	6.128384
9.419419	3.101943	6.161969
9.429429	3.033551	6.195923
9.439439	2.962511	6.230200
9.449449	2.888727	6.264746
9.459459	2.812228	6.279995
9.469469	2.733154	6.279998
9.479479	2.651552	6.279999
9.489489	2.567376	6.279999
9.499499	2.480581	6.279999
9.509510	2.391122	6.280000
9.519520	2.298952	6.280000
9.529530	2.204026	6.280000
9.539540	2.106297	6.280000
9.549550	2.005719	6.280000
9.559560	1.902246	6.280000
9.569570	1.795832	6.280000
9.579580	1.686434	6.280000
9.589590	1.574005	6.280000
9.599600	1.458504	6.280000
9.609610	1.339888	6.280000
9.619620	1.218115	6.280000
9.629630	1.093148	6.280000
9.639640	0.964948	6.280000
9.649650	0.833481	6.280000
9.659660	0.698714	6.280000
9.669670	0.560618	6.280000
9.679680	0.419165	6.280000
9.689690	0.274333	6.280000
9.699700	0.126104	6.280000
9.709710	-0.025538	6.280000
9.719720	-0.180602	6.280000
9.729730	-0.339091	6.280000
9.739740	-0.501004	6.280000
9.749750	-0.666333	6.280000
9.759760	-0.835061	6.280000
9.769770	-1.007167	6.280000
9.779780	-1.182618	6.280000
9.789790	-1.361374	6.280000
9.799800	-1.543386	6.280000
9.809810	-1.728592	6.280000
9.819820	-1.916922	6.280000
9.829830	-2.108292	6.280000
9.839840	-2.302607	6.280000
9.849850	-2.499757	6.279999
9.859860	-2.699621	6.279999
9.869870	-2.901704	6.258174
9.879880	-3.104238	6.160198
9.889890	-3.305614	6.054497
9.899900	-3.505310	5.941087
9.909910	-3.702796	5.820030
9.919920	-3.897544	5.691428
9.929930	-4.089027	5.555435
9.939940	-4.276728	5.412248
9.949950	-4.460146	5.262110
9.959960	-4.638798	5.105309
9.969970	-4.812224	4.942174
9.979980	-4.979995	4.773074
9.989990	-5.141714	4.598415
10.000000	-5.304704	4.426056
