0.064837	1.436519	0.000000	0.000000
0.139231	1.456886	0.013142	0.000468
0.233449	1.444848	0.026972	0.001887
0.319064	1.428432	0.041322	0.004267
0.396376	1.408973	0.056041	0.007577
0.465845	1.387580	0.071003	0.011768
0.528033	1.365145	0.086105	0.016780
0.583545	1.342367	0.101265	0.022546
0.632999	1.319776	0.116423	0.028998
0.676994	1.297764	0.131532	0.036069
0.716101	1.276606	0.146560	0.043695
0.750847	1.256486	0.161483	0.051818
0.781716	1.237519	0.176287	0.060383
0.809145	1.219763	0.190966	0.069340
0.833526	1.203235	0.205514	0.078646
0.855208	1.187922	0.219934	0.088260
0.874503	1.173791	0.234227	0.098147
0.891686	1.160791	0.248398	0.108277
0.907001	1.148865	0.262454	0.118621
0.920662	1.137947	0.276401	0.129156
0.932859	1.127970	0.290246	0.139858
0.943760	1.118865	0.303996	0.150709
0.953513	1.110565	0.317658	0.161693
0.962248	1.103005	0.331240	0.172794
0.970082	1.096122	0.344748	0.183999
0.977116	1.089856	0.358189	0.195295
0.983443	1.084151	0.371568	0.206674
0.989143	1.078953	0.384892	0.218125
0.994288	1.074214	0.398166	0.229639
0.998943	1.069886	0.411395	0.241211
1.003166	1.065928	0.424583	0.252832
1.007009	1.062298	0.437735	0.264497
1.010518	1.058961	0.450855	0.276201
1.013737	1.055880	0.463946	0.287938
1.016704	1.053024	0.477014	0.299705
1.019454	1.050362	0.490059	0.311496
1.022019	1.047866	0.503087	0.323308
1.024431	1.045508	0.516099	0.335139
1.026717	1.043263	0.529098	0.346983
1.028905	1.041106	0.542088	0.358839
1.031018	1.039014	0.555070	0.370703
1.033081	1.036962	0.568048	0.382573
1.035119	1.034929	0.581023	0.394445
1.037153	1.032890	0.593998	0.406317
1.039208	1.030823	0.606976	0.418186
1.041306	1.028704	0.619959	0.430050
1.043470	1.026509	0.632950	0.441905
1.045724	1.024212	0.645950	0.453748
1.048094	1.021788	0.658963	0.465577
1.050605	1.019206	0.671992	0.477387
1.053284	1.016437	0.685040	0.489176
1.056160	1.013449	0.698109	0.500940
1.059263	1.010205	0.711204	0.512675
1.062627	1.006666	0.724326	0.524375
1.066286	1.002790	0.737482	0.536036
1.070277	0.998529	0.750673	0.547653
1.074642	0.993831	0.763906	0.559220
1.079422	0.988637	0.777184	0.570729
1.084665	0.982882	0.790513	0.582173
1.090421	0.976493	0.803898	0.593545
1.096743	0.969388	0.817345	0.604833
1.103687	0.961475	0.830860	0.616029
1.111313	0.952650	0.844449	0.627119
1.119685	0.942796	0.858119	0.638091
1.128869	0.931780	0.871878	0.648930
1.138931	0.919454	0.885732	0.659617
1.149941	0.905647	0.899689	0.670134
1.161965	0.890168	0.913755	0.680460
1.175068	0.872799	0.927938	0.690568
1.189307	0.853293	0.942243	0.700432
1.204732	0.831374	0.956674	0.710019
1.221374	0.806725	0.971235	0.719293
1.239244	0.778995	0.985925	0.728216
1.258320	0.747789	1.000742	0.736742
1.267501	0.728338	1.015690	0.744835
1.264498	0.747382	1.030875	0.752531
1.246217	0.777755	1.046363	0.759878
1.228120	0.806029	1.062111	0.766888
1.211267	0.831140	1.078080	0.773586
1.195652	0.853450	1.094236	0.779993
1.181245	0.873282	1.110550	0.786133
1.167999	0.890919	1.126999	0.792027
1.155858	0.906615	1.143563	0.797698
1.144757	0.920592	1.160224	0.803164
1.134629	0.933046	1.176968	0.808444
1.125406	0.944150	1.193783	0.813556
1.117021	0.954056	1.210659	0.818514
1.109407	0.962898	1.227587	0.823334
1.102503	0.970796	1.244560	0.828028
1.096248	0.977853	1.261572	0.832609
1.090587	0.984163	1.278618	0.837089
1.085467	0.989806	1.295692	0.841475
1.080841	0.994856	1.312792	0.845779
1.076662	0.999377	1.329914	0.850008
1.072890	1.003425	1.347056	0.854169
1.069486	1.007052	1.364214	0.858270
1.066417	1.010302	1.381387	0.862315
1.063650	1.013214	1.398573	0.866312
1.061156	1.015826	1.415770	0.870264
1.058909	1.018168	1.432977	0.874176
1.056885	1.020269	1.450193	0.878052
1.055062	1.022153	1.467417	0.881895
1.053421	1.023844	1.484649	0.885710
1.051944	1.025362	1.501886	0.889499
1.050615	1.026724	1.519128	0.893263
1.049418	1.027947	1.536376	0.897007
1.048342	1.029045	1.553628	0.900732
1.047373	1.030031	1.570883	0.904440
1.046502	1.030916	1.588143	0.908132
1.045718	1.031711	1.605405	0.911811
1.045013	1.032425	1.622670	0.915477
1.044379	1.033067	1.639937	0.919131
1.043808	1.033643	1.657207	0.922776
1.043295	1.034161	1.674478	0.926412
1.042834	1.034626	1.691751	0.930040
1.042419	1.035044	1.709026	0.933660
1.042046	1.035420	1.726303	0.937274
1.041711	1.035758	1.743580	0.940882
1.041409	1.036061	1.760859	0.944485
1.041137	1.036334	1.778138	0.948082
1.040893	1.036579	1.795419	0.951676
1.040674	1.036800	1.812700	0.955266
1.040476	1.036998	1.829982	0.958852
1.040298	1.037177	1.847265	0.962435
1.040138	1.037337	1.864548	0.966016
1.039994	1.037482	1.881832	0.969594
1.039864	1.037612	1.899116	0.973170
1.039747	1.037730	1.916401	0.976743
1.039641	1.037836	1.933686	0.980315
1.039546	1.037931	1.950971	0.983886
1.039460	1.038017	1.968257	0.987455
1.039382	1.038095	1.985543	0.991022
1.039312	1.038166	2.002829	0.994589
1.039248	1.038230	2.020115	0.998154
1.039190	1.038288	2.037402	1.001719
1.039137	1.038341	2.054688	1.005282
1.039089	1.038390	2.071975	1.008846
1.039044	1.038434	2.089262	1.012408
1.039003	1.038475	2.106549	1.015970
1.038965	1.038513	2.123837	1.019531
1.038930	1.038549	2.141124	1.023092
1.038897	1.038582	2.158411	1.026653
1.038866	1.038613	2.175699	1.030213
1.038836	1.038643	2.192986	1.033773
1.038807	1.038671	2.210274	1.037333
1.038779	1.038699	2.227561	1.040893
1.038752	1.038727	2.244849	1.044453
1.038724	1.038754	2.262136	1.048013
1.038697	1.038781	2.279424	1.051573
1.038669	1.038809	2.296711	1.055133
1.038640	1.038838	2.313999	1.058693
1.038610	1.038868	2.331286	1.062253
1.038579	1.038899	2.348574	1.065813
1.038546	1.038932	2.365861	1.069374
1.038511	1.038967	2.383149	1.072935
